"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U103";"DHT12";1;"DHT12";;;
2;"U104";"FS1000A_vertical";1;"FS1000A";;;
3;"C101";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";1;"C";;;
4;"J101";"Pin_Header_Angled_1x02_Pitch2.54mm";1;"Conn_01x02";;;
5;"J102";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"PROGRAMA_ESP";;;
6;"J103";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"PROGRAMA ATTINY";;;
7;"JP101";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"No Slave Mode";;;
8;"Q101";"TO-92_Molded_Narrow";1;"BS170";;;
9;"SW101";"SW_PUSH_6mm_h7.3mm";1;"Reset";;;
10;"SW102";"SW_PUSH_6mm_h7.3mm";1;"FLASH";;;
11;"U101";"ESP-01";1;"ESP-01v090";;;
12;"U102";"DIP-8_W7.62mm";1;"ATTINY13-20PU";;;
13;"U105";"WS2812B";1;"WS2812B";;;
14;"R109";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"330";;;
15;"D101,D102";"LED_0805_HandSoldering";2;"LED";;;
16;"R101,R104";"R_0805_HandSoldering";2;"10k";;;
17;"R102";"Resistor_LDR_4.9x4.2_RM2.54";1;"LDR03";;;
18;"R103";"R_0805_HandSoldering";1;"10K";;;
19;"R105,R106";"R_0805_HandSoldering";2;"56R";;;
20;"R107,R108";"R_0805_HandSoldering";2;"R";;;
21;"U106";"externa";1;"sonda_humedad";;;
22;"REF***";"OSHW-Logo2_7.3x6mm_SilkScreen";1;"OSHW-Logo2_7.3x6mm_SilkScreen";;;
